rankYest,countryYest,totalCasesYest,newCasesYest,totalDeathsYest,newDeathsYest,totalRecoveredYest,newRecoveredYest,activeCasesYest,seriousCriticalYest,casesPerMillionYest,deathsPerMillionYest,totalTestsYest,testsPerMillionYest,populationYest
1,USA,101419853,25186,1110561,266,98643986,35493,1665306,3926,302922,3317,1145844224,3422420,334805269
2,India,44676368,122,530658,None,44140743,151,4967,698,31761,377,908416385,645810,1406631776
3,France,38612758,97037,160008,138,37332264,49021,1120486,869,588748,2440,271490188,4139547,65584518
4,Germany,36860998,48327,159364,187,36135500,37700,566134,1406,439430,1900,122332384,1458359,83883596
5,Brazil,35714251,54731,691174,153,34480032,43430,543045,8318,165840,3209,63776166,296146,215353593
6,S. Korea,27841001,86852,31128,29,26806741,53668,1003132,460,542393,606,15804065,307892,51329899
7,Japan,26309153,175961,52043,214,20855168,6795,5401942,431,209493,414,83692489,666422,125584838
8,Italy,24709404,None,182419,None,24003910,None,523075,335,410028,3027,259639054,4308449,60262770
9,UK,24053576,None,197723,None,23780918,3513,74935,146,351158,2887,522526476,7628357,68497907
10,Russia,21677505,5977,392720,59,21073454,6838,211331,2300,148674,2693,273400000,1875095,145805947
11,Turkey,17042722,None,101492,None,None,None,None,None,199186,1186,162743369,1902052,85561976
12,Spain,13632635,None,116422,None,13422605,None,93608,339,291800,2492,471036328,10082298,46719142
13,Vietnam,11521388,366,43179,1,10609783,106,868426,47,116432,436,85826548,867342,98953541
14,Australia,10866876,4376,16482,20,10546102,None,304292,92,416854,632,78835048,3024116,26068792
15,Argentina,9766975,None,130041,None,9593883,2206,43051,248,212278,2826,35716069,776264,46010234
16,Netherlands,8553219,1162,22939,2,8506827,1248,23453,33,496949,1333,25984435,1509718,17211447
17,Taiwan,8498170,17143,14722,12,8196233,17849,287215,None,355742,616,28806713,1205877,23888595
18,Iran,7560247,30,144658,None,7335537,None,80052,57,87887,1682,54420785,632632,86022837
19,Mexico,7164602,7872,330695,28,6417399,4839,416508,4798,54458,2514,18849619,143275,131562772
20,Indonesia,6702132,2117,160287,32,6506007,3402,35838,2771,24010,574,113134923,405306,279134505
21,Poland,6358785,1088,118389,7,5335940,None,904456,1530,168490,3137,37868041,1003398,37739785
22,Colombia,6323357,None,141943,None,6145467,None,35947,342,122753,2755,36951507,717327,51512762
23,Austria,5622422,5547,21284,5,5554768,4636,46370,47,620117,2347,203440675,22438203,9066710
24,Portugal,5549479,None,25584,None,5508283,1430,15612,61,547255,2523,45641725,4500903,10140570
25,Greece,5448700,None,34482,None,5389069,6287,25149,115,528147,3342,100913205,9781599,10316637
26,Ukraine,5346094,None,110640,None,5224688,966,10766,None,123775,2562,32603805,754855,43192122
27,Malaysia,5012483,1040,36778,9,4958158,1456,17547,69,151065,1108,66798582,2013153,33181072
28,Chile,4963204,2053,62749,4,4883016,None,17439,113,257826,3260,47328558,2458601,19250195
29,DPRK,4772813,None,74,None,4772739,None,0,None,183636,3,None,None,25990679
30,Israel,4741241,1825,11920,1,4715756,None,13565,57,508390,1278,41373364,4436346,9326000
31,Thailand,4715489,None,33392,None,4649509,None,32588,1496,67289,476,17270775,246450,70078203
32,Belgium,4654473,None,33133,None,4590848,849,30492,48,398900,2840,36225338,3104600,11668278
33,Czechia,4568965,1489,41977,8,4518195,964,8793,45,425543,3910,56685372,5279549,10736784
34,Canada,4440839,None,48353,None,4328717,None,63769,99,115682,1260,66343123,1728207,38388419
35,Peru,4376905,14624,217704,25,4034726,14320,124475,135,129939,6463,36921134,1096096,33684208
36,Switzerland,4351857,2003,14353,1,4256594,3093,80910,66,496015,1636,23068899,2629343,8773637
37,Philippines,4050745,670,64921,19,3967929,1141,17895,162,36004,577,33832212,300707,112508994
38,South Africa,4045472,210,102550,None,3912506,None,30416,192,66585,1688,26473049,435726,60756135
39,Romania,3301662,None,67310,None,3227137,None,7215,98,173486,3537,25884901,1360120,19031335
40,Denmark,3155297,601,7608,12,3139419,546,8270,8,540758,1304,128902930,22091523,5834950
41,Sweden,2640369,None,21202,None,2599541,311,19626,33,258379,2075,19180453,1876946,10218971
42,Iraq,2464375,None,25366,None,2437963,None,1046,21,58446,602,19448292,461243,42164965
43,Serbia,2431472,816,17449,8,2403360,609,10663,14,280997,2017,11727775,1355340,8653016
44,Hong Kong,2275447,13721,11021,37,1941909,5173,322517,28,299232,1449,70602097,9284498,7604299
45,Singapore,2183605,1817,1708,1,2108548,1156,73349,6,367391,287,24624319,4143035,5943546
46,Hungary,2171056,None,48337,None,2109635,None,13084,14,226004,5032,11394556,1186160,9606259
47,Bangladesh,2036845,20,29437,None,1986519,33,20889,1331,12132,175,15113013,90020,167885689
48,New Zealand,2019685,None,3371,None,1977388,None,38926,None,412332,688,7677843,1567482,4898203
49,Slovakia,1857373,162,20770,6,1835063,120,1540,23,340166,3804,7363513,1348581,5460193
50,Georgia,1807654,None,16888,None,1776548,None,14218,None,455473,4255,16920079,4263340,3968738
51,Jordan,1746997,None,14122,None,1731007,None,1868,59,169597,1371,17201885,1669945,10300869
52,Ireland,1680548,None,8159,None,1668728,33,3661,10,334757,1625,12867913,2563228,5020199
53,Pakistan,1575487,7,30635,None,1538689,None,6163,34,6865,133,30570862,133213,229488994
54,Norway,1471342,210,4498,None,1463975,54,2869,20,266965,816,11002430,1996315,5511370
55,Finland,1417909,None,7572,None,1382174,1569,28163,21,255251,1363,11859095,2134866,5554960
56,Kazakhstan,1398965,155,13694,None,1383020,None,2251,24,72844,713,11575012,602707,19205043
57,Bulgaria,1289474,219,38072,5,1246825,140,4577,32,188393,5562,10859353,1586558,6844597
58,Lithuania,1281437,812,9447,5,1264162,None,7828,10,481434,3549,10277516,3861248,2661708
59,Slovenia,1279344,3085,6955,None,1247937,14,24452,17,615651,3347,2793547,1344322,2078034
60,Morocco,1270318,139,16289,1,1253151,86,878,293,33631,431,12795831,338758,37772756
61,Croatia,1257412,313,17427,12,1237680,221,2305,13,309762,4293,5388120,1327357,4059286
62,Lebanon,1221273,91,10741,None,1087587,None,122945,74,182693,1607,4795578,717380,6684849
63,Guatemala,1174448,2299,19966,2,1137836,507,16646,5,63197,1074,6416368,345262,18584039
64,Costa Rica,1152466,None,9051,None,860711,None,282704,52,222383,1747,4659757,899158,5182354
65,Tunisia,1147282,137,29272,3,None,None,None,44,95237,2430,4977368,413174,12046656
66,Bolivia,1120512,1593,22253,None,1080013,333,18246,220,93433,1856,2705422,225590,11992656
67,Cuba,1111569,5,8530,None,1102903,12,136,None,98320,754,14233813,1259000,11305652
68,UAE,1045708,92,2348,None,1026651,192,16709,None,103723,233,197557700,19595508,10081785
69,Ecuador,1024914,None,35940,None,974018,None,14956,759,56583,1984,3082403,170173,18113361
70,Panama,1015970,None,8543,None,998085,None,9342,16,228464,1921,7328159,1647902,4446964
71,Mongolia,1006851,None,2179,None,989922,277,14750,192,298054,645,4030048,1193000,3378078
72,Nepal,1000941,2,12019,None,988905,10,17,None,33116,398,5983536,197963,30225582
73,Uruguay,998047,None,7548,None,988310,None,2189,18,285481,2159,6114822,1749083,3496016
74,Belarus,994037,None,7118,None,985592,None,1327,None,105381,755,13646641,1446722,9432800
75,Latvia,968527,None,6111,3,950319,None,12097,3,523857,3305,7749150,4191365,1848837
76,Saudi Arabia,826312,53,9487,1,813775,76,3050,37,23052,265,44870891,1251807,35844909
77,Azerbaijan,824943,64,9989,2,814584,60,370,None,80090,970,7398046,718243,10300205
78,Paraguay,778895,None,19646,None,None,None,None,7,106613,2689,2657506,363751,7305843
79,Bahrain,697520,59,1537,1,695308,75,675,3,390990,862,10603027,5943457,1783983
80,Sri Lanka,671770,9,16809,1,654913,3,48,None,31135,779,6486117,300619,21575842
81,Kuwait,662747,None,2570,None,660095,None,82,None,151301,587,8447300,1928464,4380326
82,Dominican Republic,650990,None,4384,None,644785,None,1821,4,58879,397,3740928,338350,11056370
83,Myanmar,633475,13,19488,None,607998,15,5989,None,11470,353,9738571,176337,55227143
84,Cyprus,622101,None,1242,None,608781,None,12078,60,508507,1015,9640118,7879860,1223387
85,Palestine,620816,None,5404,None,614962,None,450,17,116137,1011,3078533,575907,5345541
86,Estonia,610393,624,2799,None,524990,None,82604,5,461751,2117,3619991,2738455,1321910
87,Moldova,595745,343,11922,2,504142,None,79681,49,148447,2971,3216305,801437,4013171
88,Venezuela,548570,115,5830,None,541573,64,1167,36,18744,199,3359014,114771,29266991
89,Egypt,515645,None,24613,None,442182,None,48850,122,4857,232,3693367,34792,106156692
90,Libya,507112,12,6437,None,500640,30,35,None,72025,914,2483318,352707,7040745
91,Ethiopia,495420,136,7572,None,474107,323,13741,2,4101,63,5384506,44569,120812698
92,Qatar,485064,406,685,None,482740,521,1639,4,162778,230,4065369,1364257,2979915
93,Réunion,478671,None,905,None,418572,None,59194,10,527135,997,1603660,1766027,908061
94,Honduras,460714,None,11054,None,None,None,None,105,45074,1081,1573563,153950,10221247
95,Armenia,445881,None,8712,None,435060,None,2109,None,150029,2931,3240491,1090353,2971966
96,Bosnia and Herzegovina,400722,24,16217,2,378526,3,5979,None,123325,4991,1880596,578767,3249317
97,Oman,399119,None,4260,None,384669,None,10190,2,74966,800,25000000,4695724,5323993
98,China,367627,2315,5235,None,326052,3943,36340,147,254,4,160000000,110461,1448471400
99,North Macedonia,345197,None,9599,None,335465,None,133,None,165856,4612,2141032,1028697,2081304
100,Kenya,342155,35,5684,None,336032,None,439,1,6087,101,3948702,70243,56215221
101,Zambia,333746,None,4019,None,329690,None,37,None,17141,206,3765147,193380,19470234
102,Albania,333567,32,3593,None,328368,11,1606,None,116372,1254,1941032,677173,2866374
103,Botswana,327061,None,2793,None,323747,None,521,1,133978,1144,2026898,830300,2441162
104,Luxembourg,297757,None,1133,None,288991,None,7633,None,463528,1764,4412567,6869188,642371
105,Montenegro,284176,39,2790,None,281045,52,341,6,452546,4443,2671371,4254114,627950
106,Algeria,271149,2,6881,None,182600,4,81668,None,5979,152,230861,5091,45350148
107,Nigeria,266381,None,3155,None,259759,None,3467,11,1229,15,5708974,26339,216746934
108,Brunei,261440,None,225,None,243601,None,17614,None,586937,505,717784,1611437,445431
109,Zimbabwe,259356,None,5622,None,253061,None,673,12,16917,367,2525756,164744,15331428
110,Uzbekistan,248268,430,1637,None,241486,None,5145,23,7221,48,1377915,40077,34382084
111,Mozambique,230816,None,2229,None,228466,None,121,11,6976,67,1371127,41437,33089461
112,Martinique,224468,None,1071,None,None,None,None,8,600042,2863,828928,2215870,374087
113,Laos,217237,76,758,None,None,None,None,None,29038,101,1233207,164845,7481023
114,Iceland,207771,267,229,None,None,None,None,2,601550,663,1996384,5780036,345393
115,Afghanistan,206753,43,7843,3,184363,70,14547,1124,5073,192,1166689,28627,40754388
116,Kyrgyzstan,206553,10,2991,None,196406,None,7156,131,30699,445,1907195,283460,6728271
117,El Salvador,201785,None,4230,None,179410,None,18145,8,30805,646,2610114,398467,6550389
118,Guadeloupe,198608,690,997,2,None,None,None,19,496776,2494,938039,2346306,399794
119,Trinidad and Tobago,185708,180,4271,3,181221,146,216,8,132028,3036,873978,621347,1406585
120,Maldives,185651,None,311,None,163687,None,21653,25,343172,575,2213831,4092223,540985
121,Ghana,171023,None,1461,None,169553,None,9,2,5279,45,2522707,77872,32395450
122,Namibia,169946,None,4080,None,165826,None,40,None,64523,1549,1062663,403460,2633874
123,Uganda,169810,None,3630,None,100431,None,65749,3,3506,75,3012408,62198,48432863
124,Jamaica,152517,None,3399,None,99392,None,49726,None,51093,1139,1183986,396633,2985094
125,Cambodia,138302,26,3056,None,135130,23,116,None,8056,178,3091420,180062,17168639
126,Rwanda,132811,None,1467,None,131112,None,232,None,9765,108,5882479,432520,13600464
127,Cameroon,123993,None,1965,None,118616,None,3412,13,4442,70,1751774,62762,27911548
128,Malta,116000,19,809,None,114586,5,605,4,261242,1822,2094204,4716325,444033
129,Barbados,104944,528,568,1,102435,None,1941,None,364360,1972,784101,2722356,288023
130,Angola,104808,None,1925,None,102538,None,345,None,2992,55,1499795,42818,35027343
131,French Guiana,97097,None,411,None,11254,None,85432,2,309060,1308,651257,2072951,314169
132,Channel Islands,97044,369,208,None,95890,168,946,None,549940,1179,1252808,7099551,176463
133,DRC,94714,None,1457,None,83804,None,9453,None,994,15,846704,8890,95240792
134,Senegal,88887,None,1968,None,86887,None,32,None,5035,111,1146543,64946,17653671
135,Malawi,88220,None,2685,None,85065,None,470,67,4371,133,624784,30959,20180839
136,Ivory Coast,87902,8,830,None,87059,1,13,None,3169,30,1657597,59750,27742298
137,Suriname,81581,None,1393,None,None,None,None,None,136690,2334,239603,401459,596831
138,New Caledonia,78244,1149,314,None,76260,1003,1670,9,268958,1079,98964,340182,290915
139,French Polynesia,77704,147,649,None,None,None,None,7,273448,2284,None,None,284164
140,Eswatini,73908,None,1422,None,72392,None,94,None,62379,1200,1047886,884429,1184817
141,Guyana,71757,None,1285,None,70251,None,221,None,90369,1618,707973,891603,794045
142,Belize,69376,None,688,None,68467,None,221,6,168311,1669,576016,1397453,412190
143,Fiji,68451,None,878,None,66524,None,1049,None,75265,965,666164,732478,909466
144,Madagascar,67621,None,1414,None,65840,None,367,None,2318,48,519445,17803,29178077
145,Sudan,63663,3,4992,None,58136,None,535,None,1384,109,562941,12240,45992020
146,Mauritania,63425,3,997,None,62423,1,5,None,12939,203,1009957,206030,4901981
147,Cabo Verde,63144,14,412,None,62639,10,93,23,111232,726,401622,707482,567678
148,Bhutan,62521,9,21,None,61564,None,936,None,79347,27,2303734,2923739,787941
149,Syria,57421,1,3163,None,54249,2,9,None,2965,163,146269,7553,19364809
150,Burundi,51018,None,38,None,50638,None,342,None,4041,3,345742,27386,12624840
151,Seychelles,50068,None,171,None,49606,None,291,None,503570,1720,None,None,99426
152,Gabon,48973,None,306,None,48617,None,50,None,21005,131,1621130,695306,2331533
153,Andorra,47446,None,158,None,46952,None,336,14,612499,2040,249838,3225256,77463
154,Papua New Guinea,46457,30,669,1,43982,None,1806,7,5000,72,249149,26813,9292169
155,Curaçao,45986,None,295,None,44720,None,971,3,277812,1782,496693,3000640,165529
156,Aruba,43693,None,236,None,42438,None,1019,2,406035,2193,177885,1653068,107609
157,Mayotte,41853,None,187,None,None,None,None,None,146207,653,176919,618038,286259
158,Mauritius,41272,None,1036,None,39522,None,714,None,32377,813,358675,281374,1274727
159,Tanzania,40806,None,845,None,None,None,None,7,645,13,None,None,63298550
160,Togo,39337,None,290,None,39041,None,6,None,4531,33,802952,92497,8680837
161,Guinea,38153,None,464,None,37218,None,471,8,2752,33,660107,47607,13865691
162,Isle of Man,38008,None,116,None,None,None,None,None,443335,1353,150753,1758422,85732
163,Bahamas,37491,None,833,None,36366,None,292,1,93607,2080,257839,643767,400516
164,Faeroe Islands,34658,None,28,None,None,None,None,5,703959,569,778000,15802409,49233
165,Lesotho,34490,None,706,None,25980,None,7804,None,15852,324,431221,198199,2175699
166,Haiti,33874,None,860,None,32915,None,99,None,2900,74,132422,11337,11680283
167,Mali,32764,None,743,None,31943,None,78,None,1526,35,779539,36302,21473764
168,Cayman Islands,31359,None,36,None,8553,None,22770,1,466118,535,222773,3311280,67277
169,Saint Lucia,29550,None,404,None,29095,None,51,None,159632,2182,210983,1139752,185113
170,Benin,27980,None,163,None,27746,None,71,5,2189,13,604310,47268,12784726
171,Somalia,27300,None,1361,None,13182,None,12757,None,1621,81,400466,23778,16841795
172,Congo,25375,None,386,None,24006,None,983,None,4377,67,347815,59991,5797805
173,Solomon Islands,24575,None,153,None,None,None,None,1,34077,212,None,None,721159
174,Timor-Leste,23375,11,138,None,23102,None,135,None,17069,101,278529,203391,1369429
175,San Marino,22615,None,120,None,22266,None,229,4,663488,3521,157634,4624732,34085
176,Micronesia,22203,None,55,None,None,None,None,1,188979,468,21923,186596,117489
177,Burkina Faso,21631,None,387,None,21143,None,101,None,979,18,248995,11265,22102838
178,Liechtenstein,21124,30,88,None,20947,37,89,None,550290,2292,112457,2929559,38387
179,Gibraltar,20207,None,110,None,16579,None,3518,None,599543,3264,534283,15852213,33704
180,Grenada,19613,None,237,None,19358,None,18,4,172840,2089,182981,1612523,113475
181,Bermuda,18519,None,152,None,18343,None,24,None,298988,2454,1019654,16462229,61939
182,Nicaragua,18491,None,225,None,4225,None,14041,None,2728,33,None,None,6779100
183,South Sudan,18352,None,138,None,18115,None,99,1,1580,12,410280,35313,11618511
184,Tajikistan,17786,None,125,None,17264,None,397,None,1786,13,None,None,9957464
185,Equatorial Guinea,17184,None,183,None,16880,None,121,5,11482,122,365697,244342,1496662
186,Tonga,16182,None,12,None,15638,None,532,None,150182,111,535009,4965327,107749
187,Samoa,15967,None,29,None,1605,None,14333,4,78951,143,187397,926612,202239
188,Monaco,15784,71,63,None,15605,102,116,4,396752,1584,78646,1976875,39783
189,Dominica,15760,None,74,None,15673,None,13,None,217848,1023,229344,3170187,72344
190,Djibouti,15690,None,189,None,15427,None,74,None,15441,186,305941,301094,1016097
191,Marshall Islands,15547,None,17,None,15390,None,140,22,258871,283,None,None,60057
192,CAR,15311,None,113,None,14615,None,583,2,3052,23,81294,16205,5016678
193,Gambia,12586,None,372,None,12189,None,25,None,4919,145,155686,60851,2558482
194,Saint Martin,12104,46,63,None,1399,None,10642,7,304656,1586,112382,2828643,39730
195,Greenland,11971,None,21,None,2761,None,9189,4,210117,369,164926,2894810,56973
196,Vanuatu,11952,None,14,None,11937,None,1,None,37137,44,24976,77606,321832
197,Yemen,11945,None,2159,None,9124,None,662,23,383,69,329592,10579,31154867
198,Caribbean Netherlands,11474,None,36,None,10476,None,962,None,430593,1351,30126,1130559,26647
199,Sint Maarten,10964,None,89,None,10873,None,2,None,249375,2024,62056,1411454,43966
200,Eritrea,10189,None,103,None,10086,None,0,None,2782,28,23693,6470,3662244
201,Niger,9931,None,312,None,8890,None,729,1,381,12,254538,9759,26083660
202,St. Vincent Grenadines,9500,None,116,None,9361,None,23,None,85163,1040,112841,1011564,111551
203,Antigua and Barbuda,9106,None,146,None,8954,None,6,1,91509,1467,18901,189943,99509
204,Comoros,8977,None,161,None,8799,None,17,None,9893,177,None,None,907419
205,Guinea-Bissau,8848,None,176,None,8642,None,30,6,4288,85,145231,70385,2063367
206,Liberia,8037,None,294,None,7720,None,23,2,1515,55,139824,26356,5305117
207,Sierra Leone,7760,None,126,None,None,None,None,None,934,15,259958,31296,8306436
208,Chad,7648,None,194,None,4874,None,2580,None,439,11,191341,10988,17413580
209,British Virgin Islands,7305,None,64,None,None,None,None,None,238757,2092,107339,3508269,30596
210,Saint Kitts and Nevis,6552,None,46,None,6482,None,24,None,121624,854,124861,2317778,53871
211,Turks and Caicos,6463,17,36,None,6395,3,32,4,162628,906,550265,13846280,39741
212,Cook Islands,6389,None,1,None,6384,None,4,None,363610,57,19690,1120596,17571
213,Sao Tome and Principe,6279,None,77,None,6202,None,0,None,27578,338,29036,127530,227679
214,Palau,5933,None,9,None,5747,None,177,1,325399,494,68050,3732244,18233
215,St. Barth,5382,34,6,None,None,None,None,None,541176,603,78646,7908095,9945
216,Nauru,4621,None,1,None,4609,None,11,None,423828,92,20509,1881042,10903
217,Anguilla,3904,None,12,None,3879,None,13,4,256336,788,51382,3373736,15230
218,Kiribati,3430,None,13,None,2703,None,714,3,27792,105,None,None,123419
219,Saint Pierre Miquelon,3306,None,2,None,2449,None,855,1,574058,347,25300,4393124,5759
220,Tuvalu,2805,None,None,None,None,None,2805,None,232471,None,None,None,12066
221,Falkland Islands,1930,None,None,None,1930,None,0,None,545352,None,8632,2439107,3539
222,Saint Helena,1806,None,None,None,2,None,1804,None,295339,None,None,None,6115
223,Montserrat,1403,None,8,None,1376,None,19,None,282578,1611,17762,3577442,4965
224,Macao,1142,102,6,None,804,3,332,None,1711,9,7850,11760,667490
225,Wallis and Futuna,761,None,7,None,438,None,316,None,69295,637,20508,1867419,10982
226,None,712,None,13,None,699,None,0,None,None,None,None,None,None
227,Niue,203,5,None,None,170,8,33,None,125154,None,None,None,1622
228,Vatican City,29,None,None,None,29,None,0,None,36295,None,None,None,799
229,Western Sahara,10,None,1,None,9,None,0,None,16,2,None,None,626161
230,None,9,None,2,None,7,None,0,None,None,None,None,None,None
