yesterdayRank,yesterdayCountry,yesterdayTotalCases,yesterdayNewCases,yesterdayTotalDeaths,yesterdayNewDeaths,yesterdayTotalRecovered,yesterdayNewRecovered,yesterdayActiveCases,yesterdaySeriousCritical,yesterdayCasesPerMillion,yesterdayDeathsPerMillion,yesterdayTotalTests,yesterdayTestsPerMillion,yesterdayPopulation
1,USA,80278321,63419,963604,1568,52199829,220355,27114888,10400,240218,2883,942817780,2821212,334188863
2,India,42867031,15102,512652,281,42189887,31377,164492,8944,30570,366,761230580,542855,1402272769
3,Brazil,28351876,101285,645534,839,25505984,261958,2200358,8318,131845,3002,63776166,296579,215039621
4,France,22401406,97382,137276,285,19740327,319295,2523803,3055,341951,2095,243529298,3717401,65510629
5,UK,18695027,40989,160815,205,16918511,101391,1615701,324,273034,2349,477969909,6980577,68471406
6,Russia,15657928,135172,347031,796,12657025,164293,2653872,2300,107219,2376,273400000,1872126,146037195
7,Germany,13872762,158507,122369,329,10031200,201900,3719193,2494,164713,1453,104701826,1243139,84223745
8,Turkey,13675581,86070,92990,271,12853899,98199,728692,1128,159336,1083,141211474,1645275,85828516
9,Italy,12554718,60151,153512,322,11109291,89993,1291915,896,208150,2545,184981913,3066887,60315864
10,Spain,10880194,22194,98635,173,8876996,141095,1904563,1185,232560,2108,471036328,10068211,46784509
11,Argentina,8855624,16950,125618,167,8607471,11011,122535,1474,193032,2738,33992595,740959,45876480
12,Iran,6983635,22073,135499,223,6539753,22317,308383,3918,81435,1580,46780865,545504,85757177
13,Netherlands,6153207,34665,21507,18,3922750,74414,2208950,171,357805,1251,21107399,1227380,17197114
14,Colombia,6052126,2174,138285,80,5874444,3565,39397,342,116897,2671,33016280,637712,51772994
15,Poland,5582224,18799,110157,325,4935340,44530,536727,947,147762,2916,33181435,878314,37778558
16,Mexico,5418257,4832,315786,98,4676499,12177,425972,4798,41312,2408,14895473,113571,131156002
17,Indonesia,5289414,57491,146798,257,4593185,38474,549431,2807,19008,528,82000597,294679,278270598
18,Ukraine,4758773,24440,104932,287,3985601,33238,668240,177,109896,2423,19430200,448710,43302395
19,Japan,4540656,55903,22000,179,3698801,85534,819855,1504,36083,175,37793387,300327,125840797
20,South Africa,3662032,2334,98868,64,3526115,1713,37049,546,60494,1633,22928257,378755,60535816
21,Philippines,3654175,910,55776,13,3541554,2702,56845,304,32634,498,27993027,249995,111974454
22,Israel,3576923,10107,10038,37,3453676,17574,113209,695,383543,1076,41373364,4436346,9326000
23,Czechia,3523915,13452,38375,48,3352120,19349,133420,210,328062,3573,52339933,4872640,10741597
24,Belgium,3512212,5984,30015,30,2667319,54478,814878,315,300898,2571,31453138,2694653,11672424
25,Peru,3500880,2984,209808,167,None,None,None,1118,103805,6221,27049785,802057,33725535
26,Malaysia,3273958,27179,32433,43,2974441,19037,267084,286,99071,981,48228081,1459400,33046512
27,Canada,3252372,8421,36116,70,3095130,5753,121126,790,84951,943,57831597,1510543,38285308
28,Portugal,3206281,13103,20894,28,2717509,20813,467878,111,315955,2059,37805639,3725465,10147897
29,Australia,3074114,24699,4965,36,2860444,25725,208705,172,118301,191,63020941,2425240,25985443
30,Chile,2895931,18380,41526,35,1923902,15574,930503,1020,149386,2142,32424200,1672597,19385538
31,Vietnam,2890522,55879,39682,77,2305081,10412,545759,3434,29263,402,78586958,795607,98776092
32,Thailand,2749561,18363,22694,35,2557796,15651,169071,687,39230,324,17270775,246417,70087513
33,Switzerland,2706825,19121,13184,6,1945205,24569,748436,160,309051,1505,18409729,2101924,8758513
34,Romania,2686089,14775,62848,208,2358958,29774,264283,1063,141173,3303,20763483,1091264,19026997
35,Austria,2515962,21427,14631,37,2227197,28735,274134,199,276761,1609,155838597,17142536,9090755
36,Denmark,2513265,28773,4375,34,1989789,47010,519101,34,431411,751,124694186,21404203,5825687
37,Sweden,2434783,3189,17029,1,1877097,68611,540657,86,238643,1669,18107257,1774762,10202637
38,Greece,2336615,19623,25485,68,2103736,19064,207394,455,225990,2465,63959112,6185920,10339467
39,Iraq,2294929,1685,24897,21,2227997,3477,42035,191,55031,597,17887384,428926,41702742
40,S. Korea,2157734,99550,7508,58,936891,31763,1213335,480,42027,146,15804065,307822,51341623
41,Bangladesh,1936837,1595,28990,16,1771615,8357,136232,1275,11571,173,13260511,79223,167382322
42,Serbia,1892187,4591,14958,54,1730101,14464,147128,132,218004,1723,8670454,998947,8679590
43,Hungary,1762878,3193,43430,131,1535456,8630,183992,177,183250,4515,10669050,1109040,9620079
44,Jordan,1591278,9117,13731,18,1432148,16717,145399,978,153459,1324,16062203,1549003,10369380
45,Georgia,1565769,12101,15933,45,1422540,14764,127296,None,393746,4007,15693403,3946441,3976596
46,Pakistan,1502641,961,30053,13,1406361,2393,66227,1261,6593,132,26174561,114837,227927988
47,Slovakia,1374459,13420,18279,27,1128008,19228,228172,246,251549,3345,6248288,1143541,5463984
48,Kazakhstan,1299566,483,13545,2,1256284,2243,29737,528,67879,707,11575012,604588,19145293
49,Ireland,1280058,3280,6452,9,1139525,4705,134081,54,254570,1283,11250554,2237443,5028308
50,Norway,1169037,17749,1549,None,88952,None,1078536,26,212907,282,9852076,1794281,5490822
51,Morocco,1159584,427,15922,6,1137129,1232,6533,293,30817,423,11237010,298630,37628541
52,Bulgaria,1077160,4667,35245,60,806848,8545,235067,544,156962,5136,9085046,1323855,6862570
53,Cuba,1066414,467,8491,None,1054895,629,3028,34,94246,750,12920253,1141843,11315266
54,Lebanon,1053252,3978,10007,18,682977,None,360268,186,155456,1477,4795578,707807,6775263
55,Croatia,1043334,1810,14905,36,1008893,3149,19536,122,256745,3668,4478083,1101971,4063703
56,Tunisia,988329,None,27575,27,930260,None,30494,234,82213,2294,4286361,356555,12021585
57,Nepal,976105,299,11928,3,953430,831,10747,100,32541,398,5391603,179741,29996520
58,Bolivia,890420,673,21386,8,779958,4139,89076,220,74610,1792,2669468,223680,11934309
59,Belarus,890089,2507,6392,17,875660,2307,8037,None,94247,677,12317444,1304231,9444220
60,Slovenia,882459,2330,6236,14,805344,11195,70879,111,424380,2999,2561070,1231635,2079407
61,UAE,875884,626,2297,1,823015,1994,50572,None,86837,228,135081553,13392299,10086510
62,Lithuania,871758,6130,8300,25,774387,12201,89071,109,327737,3120,7672630,2884523,2659930
63,Uruguay,823784,4405,6905,10,782213,6171,34666,141,235805,1977,5641299,1614802,3493493
64,Ecuador,820541,None,35172,None,None,None,None,759,45377,1945,2470170,136605,18082637
65,Costa Rica,793835,3391,7954,18,644514,4051,141367,134,153533,1538,3635922,703209,5170468
66,Azerbaijan,777804,2372,9280,19,742326,4616,26198,None,75594,902,6501358,631864,10289178
67,Guatemala,762096,3793,16833,39,699023,4222,46240,5,41285,912,3850595,208600,18459222
68,Panama,752173,932,8036,7,734985,1655,9152,83,169936,1816,5476124,1237204,4426210
69,Saudi Arabia,741237,841,8987,1,715514,1922,16736,764,20761,252,40321585,1129347,35703451
70,Sri Lanka,639297,1254,16055,31,607326,207,15916,None,29651,745,6282076,291368,21560639
71,Paraguay,637225,705,18259,22,599783,2315,19183,158,87575,2509,2512861,345348,7276318
72,Finland,625463,2746,2329,None,46000,None,577134,35,112598,419,9848299,1772919,5554851
73,Singapore,622293,26032,956,4,557450,17163,63887,19,105013,161,23014851,3883796,5925865
74,Kuwait,615397,1053,2531,1,597655,2499,15211,79,140688,579,7505795,1715923,4374202
75,Latvia,601600,11837,5130,17,448791,3637,147679,85,324845,2770,6598792,3563136,1851962
76,Dominican Republic,572596,306,4360,3,566088,447,2148,51,51929,395,3084256,279714,11026453
77,Myanmar,572127,3563,19344,6,526338,1458,26445,None,10401,352,6969070,126691,55008542
78,Palestine,571662,1307,5162,12,537503,3400,28997,108,107944,975,3078533,581306,5295889
79,Venezuela,512169,397,5621,5,497278,1539,9270,230,18096,199,3359014,118678,28303662
80,Bahrain,498637,3425,1442,4,465393,4823,31802,24,277253,802,9326413,5185679,1798494
81,Moldova,496976,1561,11136,19,467312,None,18528,101,123670,2771,2975762,740503,4018571
82,Libya,488567,1815,6210,9,447766,3160,34591,125,69551,884,2399577,341595,7024618
83,Egypt,473449,1989,23857,51,403967,1846,45625,122,4488,226,3693367,35008,105500583
84,Ethiopia,468426,47,7441,1,409907,103,51078,118,3916,62,4475039,37406,119632988
85,Estonia,467986,5264,2181,11,337940,2317,127865,22,352399,1642,3054724,2300244,1328000
86,Mongolia,461796,449,2159,None,313256,None,146381,192,137239,642,4030048,1197670,3364908
87,Armenia,416510,753,8354,16,394155,2075,14001,None,140129,2811,2870459,965725,2972336
88,Honduras,408456,None,10671,None,127289,None,270496,105,40190,1050,1263329,124306,10163069
89,Oman,377948,1224,4238,4,359445,1312,14265,67,71049,797,25000000,4699623,5319576
90,Bosnia and Herzegovina,369230,495,15362,35,192218,None,161650,None,113703,4731,1689874,520391,3247315
91,Qatar,355032,394,662,None,349042,598,5328,39,126445,236,3361418,1197169,2807805
92,Kenya,322736,34,5638,None,303107,None,13991,3,5793,101,3341048,59968,55713818
93,Zambia,311592,328,3946,1,305606,181,2040,5,16205,205,3253159,169189,19227996
94,Cyprus,311239,2322,830,5,124370,None,186039,60,254741,679,9477138,7756790,1221786
95,North Macedonia,294407,848,8937,22,279695,1369,5775,None,141322,4290,1874917,900003,2083234
96,Réunion,292126,13632,640,37,274185,23826,17301,40,322506,707,1424291,1572412,905800
97,Albania,270455,85,3451,6,263035,633,3969,14,94149,1201,1730246,602320,2872638
98,Algeria,264365,164,6812,7,176966,148,80587,18,5855,151,230861,5113,45150046
99,Botswana,262652,None,2614,None,256886,None,3152,1,108109,1076,2026898,834283,2429509
100,Nigeria,254352,27,3142,None,230846,53,20364,11,1186,15,4317621,20127,214517283
101,Uzbekistan,235602,175,1623,2,229019,1596,4960,23,6876,47,1377915,40213,34265123
102,Zimbabwe,233980,409,5388,2,225143,104,3449,12,15375,354,2058584,135273,15217945
103,Montenegro,229222,266,2669,3,224167,352,2386,60,364889,4249,1160124,1846755,628196
104,Mozambique,224937,17,2190,1,219163,57,3584,13,6881,67,1261444,38587,32690980
105,Kyrgyzstan,200368,31,2947,1,194377,159,3044,131,29902,440,1907195,284622,6700794
106,Luxembourg,179305,798,986,1,167853,61,10466,9,278993,1534,4055214,6309781,642687
107,Afghanistan,172716,275,7569,20,152894,451,12253,1124,4279,188,885428,21935,40366137
108,Maldives,166525,796,292,None,151009,573,15224,25,299418,525,2166990,3896329,556162
109,Uganda,163071,22,3580,None,99892,33,59599,56,3390,74,2440282,50724,48108585
110,Ghana,158888,223,1441,3,156941,316,506,1,4944,45,2299550,71555,32136782
111,Namibia,157033,None,4002,None,152480,None,551,5,60019,1530,947400,362102,2616393
112,El Salvador,147786,None,4048,4,123870,None,19868,153,22597,619,1693464,258942,6539930
113,Laos,141441,140,613,1,7660,None,133168,None,18988,82,997658,133935,7448795
114,Rwanda,129419,41,1457,1,45522,None,82440,None,9602,108,4756978,352926,13478685
115,Jamaica,127706,41,2795,8,75445,166,49466,25,42820,937,839014,281323,2982384
116,Cambodia,127575,598,3022,2,121125,358,3428,None,7461,177,2846617,166482,17098648
117,Trinidad and Tobago,124488,412,3582,8,100076,598,20830,18,88482,2546,616543,438219,1406928
118,Guadeloupe,123622,None,828,None,2250,None,120544,21,308873,2069,878298,2194450,400236
119,Cameroon,119107,None,1920,None,106050,None,11137,13,4311,69,1751774,63403,27629367
120,Iceland,112552,2873,60,2,75685,None,36807,2,326353,174,1719721,4986462,344878
121,Martinique,108349,None,861,None,104,None,107384,16,289095,2297,645857,1723264,374787
122,China,107989,138,4636,None,101544,53,1809,12,75,3,160000000,111163,1439323776
123,Angola,98671,13,1899,None,96601,17,171,None,2857,55,1416784,41016,34541953
124,DRC,85876,None,1335,None,50930,None,33611,None,913,14,846704,9005,94024425
125,Senegal,85600,12,1959,1,83533,17,108,3,4901,112,1008552,57739,17467362
126,Malawi,85238,10,2609,3,74982,267,7647,67,4275,131,543557,27259,19940451
127,Ivory Coast,81397,23,791,None,79469,184,1137,None,2965,29,1403648,51136,27449350
128,Suriname,77810,94,1314,4,49352,4,27144,3,130716,2207,226669,380791,595259
129,French Guiana,77575,43,389,1,11254,None,65932,8,249137,1249,589588,1893498,311375
130,Malta,70829,90,599,1,69055,91,1175,3,159714,1351,1211456,2731747,443473
131,Eswatini,69021,28,1390,1,67502,19,129,11,58498,1178,473191,401050,1179879
132,Hong Kong,66574,6211,336,36,13232,None,53006,16,8763,44,36260319,4773094,7596816
133,Fiji,63676,26,826,None,61865,None,985,None,70197,911,495900,546682,907108
134,Madagascar,63433,None,1350,None,57862,None,4221,61,2198,47,393562,13638,28858230
135,Guyana,62746,78,1215,2,60706,102,825,10,79147,1533,534986,674820,792783
136,French Polynesia,62571,None,637,None,None,None,None,7,220651,2246,None,None,283574
137,Sudan,61251,28,3894,2,40329,None,17028,None,1345,86,562941,12365,45528197
138,Mauritania,58618,2,977,None,57556,16,85,30,12086,201,735046,151555,4850040
139,Belize,56374,118,647,2,53850,243,1877,6,137676,1580,496035,1211407,409470
140,Cabo Verde,55864,1,401,1,55396,1,67,23,98717,709,400982,708576,565898
141,Barbados,54106,222,311,None,50580,254,3215,None,187899,1080,578917,2010457,287953
142,Syria,53912,128,3056,3,45868,225,4988,None,2963,168,146269,8038,18197783
143,Channel Islands,49736,603,141,1,46843,528,2752,None,281802,799,1205516,6830390,176493
144,New Caledonia,48985,3659,287,None,34137,None,14561,37,168912,990,98964,341252,290003
145,Gabon,47506,None,303,None,45387,None,1816,1,20549,131,1564505,676731,2311857
146,Brunei,41049,3251,112,1,21555,972,19382,None,92379,252,712994,1604563,444354
147,Papua New Guinea,40449,153,636,None,37959,None,1854,7,4385,69,249149,27008,9225040
148,Seychelles,39181,None,160,None,38481,None,540,None,394389,1611,None,None,99346
149,Curaçao,38778,41,261,1,38093,144,424,3,234741,1580,486812,2946893,165195
150,Burundi,38011,27,38,None,773,None,37200,None,3048,3,345742,27723,12471283
151,Andorra,37820,231,151,1,36993,325,676,14,488202,1949,249838,3225048,77468
152,Togo,36755,8,272,1,36399,2,84,None,4275,32,684010,79565,8596910
153,Mayotte,36631,None,187,None,2964,None,33480,None,129160,659,176919,623813,283609
154,Guinea,36393,None,440,None,32939,None,3014,49,2653,32,587607,42838,13716808
155,New Zealand,36162,2845,56,3,17080,187,19026,None,7229,11,6538011,1307053,5002100
156,Aruba,33631,13,211,None,33360,5,60,7,312817,1963,177885,1654590,107510
157,Tanzania,33620,71,798,2,None,None,None,7,538,13,None,None,62523405
158,Bahamas,33081,13,770,None,26116,87,6195,9,82824,1928,218223,546362,399411
159,Lesotho,32599,165,696,None,23330,214,8573,None,15022,321,396454,182687,2170124
160,Faeroe Islands,32044,None,24,None,7693,None,24327,5,651725,488,774000,15741946,49168
161,Mali,30352,6,722,2,28630,80,1000,None,1431,34,616351,29064,21206999
162,Haiti,30287,27,819,None,25180,11,4288,None,2604,70,132422,11386,11630644
163,Mauritius,30116,162,786,None,26379,211,2951,None,23616,616,358675,281262,1275233
164,Benin,26567,None,163,None,25506,None,898,5,2101,13,604310,47795,12643828
165,Somalia,26313,None,1348,None,13182,None,11783,None,1583,81,400466,24095,16620136
166,Congo,23925,None,377,None,20178,None,3370,None,4168,66,347815,60586,5740801
167,Saint Lucia,22568,23,357,None,21365,197,846,2,121986,1930,133501,721608,185005
168,Timor-Leste,22485,79,125,None,21423,219,937,20,16538,92,246794,181515,1359637
169,Isle of Man,22471,64,79,None,22098,44,294,None,261985,921,150753,1757602,85772
170,Burkina Faso,20751,None,375,None,20309,None,67,None,950,17,248995,11399,21842972
171,Taiwan,20100,44,852,None,18050,52,1198,None,841,36,11375956,476230,23887544
172,Cayman Islands,18728,None,17,None,8553,None,10158,2,279568,254,222773,3325516,66989
173,Nicaragua,18004,109,220,1,4225,None,13559,None,2666,33,None,None,6753900
174,Tajikistan,17388,None,124,None,17252,None,12,None,1758,13,None,None,9888968
175,South Sudan,16940,4,137,None,13250,173,3553,1,1485,12,336010,29451,11409101
176,Equatorial Guinea,15874,None,182,None,15625,None,67,5,10736,123,273437,184939,1478524
177,Djibouti,15542,None,189,None,15345,2,8,None,15364,187,282301,279071,1011575
178,Gibraltar,15091,218,101,None,14368,375,622,10,448150,2999,510161,15149997,33674
179,San Marino,14207,None,112,None,13703,None,392,4,417264,3289,134668,3955240,34048
180,CAR,14187,None,113,None,6859,None,7215,2,2856,23,81294,16365,4967531
181,Grenada,13565,33,214,None,13184,70,167,5,119643,1887,135013,1190811,113379
182,Gambia,11924,None,365,None,11461,None,98,4,4717,144,135608,53643,2527969
183,Yemen,11746,5,2124,1,8580,13,1042,23,380,69,265253,8583,30903300
184,Greenland,11581,None,13,1,2761,None,8807,9,203418,228,164926,2896895,56932
185,Bermuda,11423,None,123,None,11096,None,204,None,184540,1987,787731,12725864,61900
186,Liechtenstein,11302,9,76,1,10929,76,297,9,295030,1984,80413,2099118,38308
187,Dominica,10953,152,57,None,10470,523,426,None,151538,789,164891,2281313,72279
188,Bhutan,10196,84,6,None,6644,189,3546,None,12979,8,1920885,2445268,785552
189,Saint Martin,9827,None,63,None,1399,None,8365,7,247233,1585,78366,1971571,39748
190,Eritrea,9689,None,103,None,9572,13,14,None,2671,28,23693,6532,3626963
191,Sint Maarten,9535,2,85,None,9402,18,48,10,218317,1946,62056,1420859,43675
192,Monaco,9267,50,51,None,9011,25,205,4,233432,1285,54960,1384418,39699
193,Niger,8745,2,306,None,8415,6,24,1,341,12,226119,8818,25642365
194,Comoros,8024,3,160,None,7825,13,39,None,8916,178,None,None,899983
195,Guinea-Bissau,7953,46,166,None,6961,26,826,6,3890,81,122770,60055,2044277
196,Sierra Leone,7663,None,125,None,None,None,None,None,930,15,259958,31537,8243060
197,Caribbean Netherlands,7542,14,31,None,7409,19,102,None,283289,1164,30126,1131578,26623
198,Antigua and Barbuda,7408,None,135,None,7189,None,84,1,74632,1360,18901,190419,99260
199,Liberia,7360,None,290,None,5747,None,1323,2,1401,55,139824,26620,5252620
200,Chad,7246,None,190,None,4874,None,2182,None,421,11,191341,11125,17198525
201,St. Vincent Grenadines,6737,None,106,1,6570,2,61,4,60412,951,97955,878378,111518
202,British Virgin Islands,6050,None,62,None,None,None,None,6,197965,2029,99936,3270050,30561
203,Solomon Islands,5968,77,85,2,1549,2,4334,8,8353,119,5117,7162,714505
204,Sao Tome and Principe,5930,None,72,None,5848,1,10,None,26258,319,29036,128572,225835
205,Turks and Caicos,5846,None,36,None,5763,None,47,4,147716,910,419792,10607237,39576
206,Saint Kitts and Nevis,5523,None,42,None,5461,5,20,1,102626,780,65141,1210417,53817
207,St. Barth,3735,None,6,None,None,None,None,None,376285,604,56491,5691215,9926
208,Palau,3627,64,6,None,2791,48,830,15,198892,329,35487,1945986,18236
209,Kiribati,2861,14,11,None,1588,222,1262,4,23363,90,None,None,122456
210,Anguilla,2506,None,9,None,2476,None,21,4,164619,591,51382,3375287,15223
211,Saint Pierre Miquelon,1063,None,1,None,1035,None,27,1,184934,174,17358,3019833,5748
212,Diamond Princess,712,None,13,None,699,None,0,None,None,None,None,None,None
213,Wallis and Futuna,454,None,7,None,438,None,9,None,41590,641,20508,1878710,10916
214,Tonga,234,None,None,None,38,None,196,None,2173,None,None,None,107661
215,Montserrat,163,None,2,None,161,None,0,None,32620,400,7796,1560136,4997
216,Falkland Islands,89,None,None,None,None,None,None,None,24410,None,8632,2367526,3646
217,Macao,80,1,None,None,79,None,1,None,121,None,5310,7999,663860
218,Samoa,33,None,None,None,3,None,30,None,165,None,None,None,200578
219,Vatican City,29,None,None,None,28,None,1,None,36070,None,None,None,804
220,Vanuatu,15,None,1,None,6,None,8,None,47,3,23000,72120,318915
221,Western Sahara,10,None,1,None,8,None,1,None,16,2,None,None,621421
222,MS Zaandam,9,None,2,None,7,None,0,None,None,None,None,None,None
223,Marshall Islands,7,None,None,None,7,None,0,None,117,None,None,None,59846
224,Cook Islands,4,None,None,None,None,None,4,None,227,None,863,49062,17590
225,Saint Helena,2,None,None,None,2,None,0,None,327,None,None,None,6107
226,Micronesia,1,None,None,None,1,None,0,None,9,None,None,None,117002
